pano,ONSConstID,ConstituencyName,Country,Region,ConstituencyType,Winner19,Con19,Lab19,LD19,SNP19,PC19,UKIP19,Green19,Brexit19,Other19,Majority19,Turnout19,ConVote19,LabVote19,LDVote19,SNPVote19,PCVote19,UKIPVote19,GreenVote19,BrexitVote19,TotalVote19,RejectedVote19,Electorate19,SeatChange1719,Con1719,Lab1719,LD1719,SNP1719,PC1719,UKIP1719,Green1719,Winner17,Con17,Lab17,LD17,SNP17,PC17,UKIP17,Green17,Other17,Majority17,Turnout17,ConVote17,LabVote17,LDVote17,SNPVote17,PCVote17,UKIPVote17,GreenVote17,TotalVote17,RejectedVote17,Electorate17,SeatChange1517,Con1517,Lab1517,LD1517,SNP1517,PC1517,UKIP1517,Green1517,Winner15,Con15,Lab15,LD15,SNP15,PC15,UKIP15,Green15,Other15,Majority15,Turnout15,ConVote15,LabVote15,LDVote15,SNPVote15,PCVote15,UKIPVote15,GreenVote15,BNPVote15,TotalVote15,RejectedVote15,Electorate15,SeatChange1015,Con1015,Lab1015,LD1015,SNP1015,PC1015,UKIP1015,Green1015,Winner10,Con10,Lab10,LD10,SNP10,PC10,UKIP10,Green10,BNP10,Majority10,Turnout10,ConVote10,LabVote10,LDVote10,SNPVote10,PCVote10,UKIPVote10,GreenVote10,BNPVote10,TotalVote10,Electorate10,Con0510,Lab0510,LD0510,SNP0510,PC0510,BNP0510,UKIP0510,Green0510,Winner05,Con05,Lab05,LD05,SNP05,PC05,UKIP05,Green05,BNP05,Other05,Majority05,Turnout05,ConVote05,LabVote05,LDVote05,SNPVote05,PCVote05,UKIPVote05,GreenVote05,BNPVote05,TotalVote05,Electorate05,leaveHanretty,remainHanretty,ConPPC19,ConPPCsex19,LabPPC19,LabPPCsex19,LDPPC19,LDPPCsex19,SNPPPC19,SNPPPCsex19,PCPPC19,PCPPCsex19,UKIPPPC19,UKIPPPCsex19,GreenPPC19,GreenPPCsex19,BrexitPPC19,BrexitPPCsex19,ConPPC17,ConPPCsex17,LabPPC17,LabPPCsex17,LDPPC17,LDPPCsex17,SNPPPC17,SNPPPCsex17,PCPPC17,PCPPCsex17,UKIPPPC17,UKIPPPCsex17,GreenPPC17,GreenPPCsex17,ConPPC15,ConPPCsex15,ConPPCrace15,LabPPC15,LabPPCsex15,LabPPCrace15,LDPPC15,LDPPCsex15,LDPPCrace15,SNPPPC15,SNPPPCsex15,SNPPPCrace15,PCPPC15,PCPPCsex15,PCPPCrace15,UKIPPPC15,UKIPPPCsex15,UKIPPPCrace15,GreenPPC15,GreenPPCsex15,GreenPPCrace15,c11Population,c11PopulationDensity,c11Male,c11Female,c11Households,c11Communal,c11Age0to4,c11Age5to7,c11Age8to9,c11Age10to14,c11Age15,c11Age16to17,c11Age18to19,c11Age20to24,c11Age25to29,c11Age30to44,c11Age45to59,c11Age60to64,c11Age65to74,c11Age75to84,c11Age85to89,c11Age90plus,c11HouseOwned,c11HouseOutright,c11HouseMortgage,c11HouseShared,c11HouseSocial,c11HouseSocialLA,c11HouseSocialOther,c11HousePrivate,c11HousePrivateLandlord,c11HousePrivateOther,c11HouseRentFree,c11HouseholdOnePerson,c11HouseholdOnePerson65plus,c11HouseholdOnePersonOther,c11HouseholdOneFamily,c11HouseholdOneFamily65plus,c11HouseholdMarried,c11HouseholdMarriedNoChildren,c11HouseholdMarriedDependents,c11HouseholdMarriedNondependents,c11HouseholdCohabit,c11HouseholdCohabitNoChildren,c11HouseholdCohabitDependents,c11HouseholdCohabitNodependents,c11HouseholdLone,c11HouseholdLoneDependents,c11HouseholdLoneNodependents,c11HouseholdOther,c11HouseholdOtherDependents,c11HouseholdAllStudents,c11HouseholdAll65plus,c11HouseholdAnyOther,c11CarsNone,c11CarsOne,c11CarsTwo,c11CarsThree,c11CarsFour,c11EthnicityWhite,c11EthnicityMixed,c11EthnicityAsian,c11EthnicityBlack,c11EthnicityOther,c11EthnicityWhiteBritish,c11EthnicityWhiteIrish,c11EthnicityWhiteTraveller,c11EthnicityWhiteOther,c11EthnicityMixedCaribbean,c11EthnicityMixedAfrican,c11EthnicityMixedAsian,c11EthnicityMixedOther,c11EthnicityIndian,c11EthnicityPakistani,c11EthnicityBangladeshi,c11EthnicityChinese,c11EthnicityOtherAsian,c11EthnicityBlackAfrican,c11EthnicityBlackCaribbean,c11EthnicityBlackOther,c11EthnicityArab,c11EthnicityAnyOther,c11BornUK,c11BornEngland,c11BornNI,c11BornScotland,c11BornWales,c11BornUKNotSpecified,c11BornIreland,c11BornOtherEU,c11BornOtherPre2004EU,c11BornPost2004EU,c11BornOther,c11PassportNone,c11PassportAny,c11PassportUK,c11PassportIreland,c11PassportEU,c11PassportEuropeNotEU,c11PassportAfrica,c11PassportAsia,c11PassportNorthAmerica,c11PassportCentralAmerica,c11PassportSouthAmerica,c11PassportOceania,c11EnglishAll,c11EnglishOne,c11EnglishChild,c11EnglishNone,c11Christian,c11Buddhist,c11Hindu,c11Jewish,c11Muslim,c11Sikh,c11ReligionOther,c11NoReligion,c11ReligionNotStated,c11NSSECHigherManager,c11NSSECHigherProfessional,c11NSSECLowerManager,c11NSSECIntermediate,c11NSSECSmallEmployer,c11NSSECLowerSupervisor,c11NSSECSemiRoutine,c11NSSECRoutine,c11NSSECNeverWorked,c11NSSECLongtermUnemployed,c11EconomicActive,c11Employed,c11EmployedPartTime,c11EmployedFullTime,c11SelfEmployed,c11Unemployed,c11EconomicallyActiveStudent,c11EconomicInactive,c11Retired,c11EconomicallyInactiveStudent,c11LookingAfterHome,c11LongTermSick,c11EconomicInactiveOther,c11Unemployed16to24,c11Unemployed50to74,c11Neverworked,c11LongTermUnemployed,c11FulltimeStudent,c11IndustryAgriculture,c11IndustryMining,c11IndustryManufacturing,c11IndustryElectricitySupply,c11IndustryWaterSupply,c11IndustryConstruction,c11IndustryWholesale,c11IndustryTransport,c11IndustryAccommodation,c11IndustryCommunication,c11IndustryFinance,c11IndustryRealEstate,c11IndustryProfessional,c11IndustryAdministrative,c11IndustryPublicAdministration,c11IndustryEducation,c11IndustrySocialWork,c11IndustryOther,c11QualNone,c11QualLevel1,c11QualLevel2,c11QualApprentice,c11QualLevel3,c11QualLevel4,c11QualOther,c11Degree,c11HealthVeryGood,c11HealthGood,c11HealthFair,c11HealthBad,c11HealthVeryBad,c11NoAdultsEmployed,c11NoAdultsEmployedChildren,c11NoAdultsEmployedNoChildren,c11DeprivedNone,c11Deprived1,c11Deprived2,c11Deprived3,c11Deprived4
1,W07000049,Aberavon,Wales,Wales,County,Labour,21,54,3,,9,,1,10,2,33,62,6518,17008,1072,,2711,,450,3108,31598,82,50750,,3,-14,2,,0,,,Labour,18,68,2,,8,4,,,50,67,5901,22662,599,,2761,1345,,33268,57,49892, ,6,19,-3,,-3,-12,-2,Labour,12,49,4,,12,16,2,5,33,63,3742,15416,1397,,3663,4971,711,,31523,57,49821, ,-2,-3,-12,,5,14,2,Labour,14,52,16,,7,2,,4,36,61,4411,16073,5034,,2198,489,,1276,30958,50838,4,-8,3,,-5,,,,Labour,10,60,14,,12,,2,,3,46,59,3064,18077,4140,,3545,,510,,30104,51080,60,40,"Lang, Charlotte",Female,"Kinnock, Stephen",Male,"Kingston-Jones, Sheila",Female,,,"Hunt, Nigel",Male,,,"Finney, Giorgia",Female,"Davies, Glenda",Female,"Vidal, Sadie",Female,"Kinnock, Stephen",Male,"Phillips, Cen",Male, ,,"Bennison, Andrew",Male,"Jones, Caroline",Female, ,,"Yi, Edward He",Male,BME,"Kinnock, Stephen",Male,White,"Clarke, Helen Ceri",Female,White, ,,,"Higgitt, Duncan",Male,White,"Bush, Peter",Male,White,"Tier, Jonathan",Male,White,66133,4,49,51,99,1,6,3,2,6,1,3,2,6,7,19,21,6,10,6,2,1,67,35,32,0,20,13,6,11,10,1,2,30,14,17,64,8,33,12,13,8,10,4,5,1,13,8,5,6,2,0,0,3,28,44,22,5,1,98,1,1,0,0,96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,8,0,1,88,0,0,1,0,0,2,24,77,75,0,0,0,0,0,0,0,0,0,99,1,0,1,57,0,0,0,1,0,0,35,7,1,3,16,12,6,11,19,18,5,2,62,55,14,36,5,5,2,38,17,4,5,10,3,2,1,1,2,6,0,0,17,1,1,9,15,4,5,2,3,1,3,4,9,8,14,4,33,15,16,5,11,17,4,8,45,28,16,8,3,42,6,36,32,30,28,10,0
2,W07000058,Aberconwy,Wales,Wales,County,Conservative,46,40,6,,8,,,,0,6,71,14687,12653,1821,,2704,,,,31865,123,44699,,1,-3,3,,-1,,,Conservative,45,43,3,,10,,,,2,71,14337,13702,941,,3170,,,32150,78,45251, ,3,14,-2,,-2,-11,-2,Conservative,42,28,5,,12,11,2,,13,66,12513,8514,1391,,3536,3467,727,,30148,59,45525, ,6,4,-15,,-6,9,2,Conservative,36,24,19,,18,2,,,11,67,10734,7336,5786,,5341,632,,,29966,44593,7,-9,0,,4,,1,,Labour,29,33,19,,14,1,2,,2,4,62,7924,8994,5197,,3818,296,512,,27258,43976,52,48,"Millar, Robin",Male,"Owen, Emily",Female,"Edwards, Jason",Male,,,"Goodier, Lisa",Female,,,,,,,"Bebb, Guto",Male,"Owen, Emily",Female,"Lesiter-Burgess, Sarah",Female, ,,"Jones, Wyn",Male, ,, ,,"Bebb, Guto ap Owain",Male,White,"Wimbury, Mary Felicity",Female,White,"Babu, Victor",Male,BME, ,,,"Meurig, Dafydd",Male,White,"Haigh, Andrew",Male,White,"Haig, Petra Mary",Female,White,56415,1,48,52,98,2,5,3,2,5,1,2,2,5,5,17,20,8,12,9,2,1,70,41,28,1,12,5,7,16,15,2,2,35,17,17,60,11,30,13,12,5,9,5,4,0,10,6,4,6,2,0,0,3,22,44,25,6,2,98,1,1,0,0,95,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,37,0,1,57,0,1,2,1,1,2,22,78,75,1,1,0,0,0,0,0,0,0,98,1,0,1,64,0,0,0,0,0,0,26,8,2,6,22,11,13,8,17,11,3,2,67,60,16,33,12,4,3,33,19,4,3,5,2,1,1,0,2,7,2,0,4,1,1,8,17,4,12,2,2,2,5,4,7,10,16,5,24,13,16,4,11,27,5,14,47,33,15,5,1,40,3,37,41,34,20,5,1
3,S14000001,Aberdeen North,Scotland,Scotland,Borough,Scottish National Party,20,13,8,54,,,2,3,0,34,60,7535,4939,2846,20205,,,880,1008,37413,72,62489,,-3,-17,3,13,,,,Scottish National Party,23,30,5,41,,,,1,11,59,8341,11031,1693,15170,,,,36757,55,62130, ,11,4,-0,-15,,,,Scottish National Party,12,26,5,56,,,,1,30,65,5304,11397,2050,24793,,,,,43936,78,67745,Scottish National Party gain from Labour,-0,-18,-14,34,,,,Labour,12,44,19,22,,,,2,22,58,4666,16746,7001,8385,,,,635,37701,64808,3,2,-5,-0,,,,,Labour,9,42,24,22,,,,,2,19,56,3456,15557,8762,8168,,,,,36634,65714,43,57,"Houghton, Ryan",Male,"Ali, Nurul Hoque",Male,"Davidson, Isobel",Female,"Blackman, Kirsty",Female,,,,,"Ingerson, Guy",Male,"Leslie, Seb",Male,"O'Keeffe, Grace",Female,"Vinegold, Orr",Male,"Davidson, Isobel",Female,"Blackman, Kirsty",Female, ,, ,, ,,"Sen, Sanjoy",Male,BME,"Baker, Richard",Male,White,"Davidson, Euan",Male,White,"Blackman, Kirsty",Female,White, ,,, ,,, ,,,99654,20,49,51,1,5,5,3,2,4,1,2,5,13,10,20,17,5,7,5,1,0,45,19,26,1,35,30,6,18,15,2,1,39,11,28,49,5,24,10,10,4,11,7,3,0,10,6,4,11,2,4,0,5,40,43,15,2,1,90,1,5,3,1,79,1,0,10,,,,,2,1,0,1,1,,,,1,0,81,8,1,72,0,,1,8,2,6,10,,,,,,,,,,,,,,,,,38,0,1,0,2,0,0,50,7,1,8,16,10,4,8,14,14,2,1,70,57,11,42,4,4,10,30,9,11,3,4,2,1,1,0,1,20,0,7,7,0,1,6,16,6,9,2,1,1,8,6,4,8,15,4,22,23,17,,9,29,,,52,32,11,4,1,32,3,29,40,33,20,6,1
4,S14000002,Aberdeen South,Scotland,Scotland,Borough,Scottish National Party,36,8,11,45,,,,,0,9,69,16398,3834,5018,20388,,,,,45638,131,65719,Scottish National Party gain from Conservative,-6,-12,5,13,,,,Conservative,42,21,6,31,,,,,11,68,18746,9143,2610,13994,,,,44493,63,64964,Conservative gain from Scottish National Party,19,-6,1,-10,,-2,-2,Scottish National Party,23,27,5,42,,2,2,0,15,71,11087,12991,2252,20221,,897,964,,48551,56,68056,Scottish National Party gain from Labour,2,-10,-24,30,,2,1,Labour,21,37,28,12,,,1,1,8,67,8914,15722,12216,5102,,,413,529,43034,64031,4,-0,-5,2,,,,-1,Labour,17,37,33,10,,,2,,1,3,62,7134,15272,13924,4120,,,768,,41621,67012,32,68,"Lumsden, Douglas",Male,"Simpson, Shona",Female,"Yuill, Ian",Male,"Flynn, Stephen",Male,,,,,,,,,"Thomson, Ross",Male,"O'Dwyer, Callum",Male,"Wilson, Jenny",Female,"McCaig, Callum",Male, ,, ,, ,,"Thomson, Ross",Male,White,"Begg, Anne",Female,White,"Rixson, Denis",Male,White,"McCaig, Callum",Male,White, ,,,"Skinner, Sandra",Female,White,"Yeats, Dan",Male,White,93197,11,49,51,1,3,5,2,2,4,1,2,3,9,10,22,20,5,7,6,1,1,63,29,33,1,17,13,3,19,18,2,1,39,11,28,53,7,29,12,13,4,11,7,3,0,7,4,3,7,1,2,0,4,28,46,22,4,1,93,1,4,2,1,84,1,0,8,,,,,1,0,0,1,1,,,,0,0,84,9,1,74,0,,1,6,2,3,9,,,,,,,,,,,,,,,,,43,0,1,0,2,0,0,47,7,2,14,22,12,5,8,12,9,2,1,75,66,11,48,7,3,6,25,11,6,4,3,2,1,1,0,1,12,0,11,7,0,0,6,14,5,6,3,2,1,13,5,4,9,12,4,17,19,13,,10,40,,,57,30,10,3,1,27,2,25,52,30,14,3,0
5,S14000058,West Aberdeenshire and Kincardine,Scotland,Scotland,County,Conservative,43,5,12,41,,,,,0,2,73,22752,2431,6253,21909,,,,,53345,114,72640,,-5,-6,3,9,,,,Conservative,48,11,9,32,,,,,15,71,24704,5706,4461,16754,,,,51625,49,72477,Conservative gain from Scottish National Party,19,7,-13,-9,,-2,-2,Scottish National Party,29,5,21,42,,2,2,0,13,75,15916,2487,11812,22949,,1006,885,,55196,43,73445,Scottish National Party gain from Liberal Democrat,-1,-9,-17,26,,1,2,Liberal Democrat,30,14,38,16,,1,,1,8,68,13678,6159,17362,7086,,397,,513,45195,66110,2,1,-8,4,,,,,Liberal Democrat,28,13,46,11,,,,,1,18,64,11814,5470,19285,4700,,,,,41648,65548,39,61,"Bowie, Andrew",Male,"Coffield, Paddy",Male,"Waddell, John",Male,"Mutch, Fergus",Male,,,,,,,,,"Bowie, Andrew",Male,"Black, Barry",Male,"Waddell, John",Male,"Donaldson, Stuart",Male, ,, ,, ,,"Burnett, Alexander James Amherst",Male,White,"Black, Barry",Male,White,"Smith, Robert Hill",Male,White,"Donaldson, Stuart Blair",Male,White, ,,,"Lansdell, David Michael",Male,White,"Openshaw, Richard Paul",Male,White,91710,0,49,51,1,1,6,4,2,6,1,3,2,5,5,20,23,7,9,5,1,1,75,35,40,0,12,8,4,11,9,1,2,24,11,13,72,9,46,18,21,7,10,5,4,1,7,4,3,3,1,0,0,2,10,39,38,9,4,98,0,1,0,0,95,1,0,3,,,,,0,0,0,0,0,,,,0,0,94,14,1,79,1,,0,2,1,1,4,,,,,,,,,,,,,,,,,49,0,0,0,0,0,0,43,7,3,11,24,13,10,9,13,9,1,1,76,71,15,45,11,2,3,24,14,3,4,2,1,1,0,0,1,6,3,9,7,0,0,8,14,5,5,2,1,1,10,4,4,9,12,4,18,24,14,,11,33,,,59,30,9,2,1,25,1,24,53,31,14,2,0
6,S14000003,Airdrie and Shotts,Scotland,Scotland,County,Scottish National Party,18,32,4,45,,,2,,0,13,62,7011,12728,1419,17929,,,685,,39772,91,64011,,-6,-5,1,7,,,,Scottish National Party,23,37,2,38,,,,,1,59,8813,14096,802,14291,,,,38002,47,64146, ,16,3,1,-16,,-2,,Scottish National Party,8,34,2,54,,2,,0,20,66,3389,15108,678,23887,,1088,,,44286,45,66792,Scottish National Party gain from Labour,-1,-24,-7,30,,2,,Labour,9,58,8,24,,,,,35,58,3133,20849,2898,8441,,,,,35849,62364,-1,-1,-3,7,,,,,Labour,10,59,11,17,,,,,3,42,54,3271,19568,3792,5484,,,,,33158,61955,40,60,"Nolan, Lorraine",Female,"McFarlane, Helen",Female,"Crossman, William",Male,"Gray, Neil",Male,,,,,"McGowan, Rosemary",Female,,,"Donnellan, Jennifer",Female,"McFarlane, Helen",Female,"McRobert, Ewan",Male,"Gray, Neil",Male, ,, ,, ,,"Holford, Eric",Male,White,"Nash, Pamela",Female,White,"Love, John",Male,White,"Gray, Neil Charles",Male,White, ,,,"Williams, Matt",Male,White, ,,,85845,4,49,51,1,1,6,3,2,6,1,2,3,6,7,21,21,6,9,5,1,0,60,22,38,0,32,28,4,7,6,1,1,30,12,19,65,7,34,12,14,8,9,4,5,1,15,9,5,5,2,0,0,2,30,42,22,4,1,98,0,1,0,0,96,1,0,1,,,,,0,1,0,0,0,,,,0,0,97,3,0,94,0,,0,1,0,1,1,,,,,,,,,,,,,,,,,70,0,0,0,1,0,0,23,6,1,4,17,14,6,9,18,18,4,3,68,59,13,41,5,6,3,32,15,4,4,7,3,2,1,1,3,6,1,0,10,1,1,11,17,7,4,3,4,1,3,6,7,6,15,4,36,26,13,,10,15,,,50,28,14,6,2,37,6,31,33,32,25,9,1
7,E14000530,Aldershot,England,South East,Borough,Conservative,58,24,14,,,,4,,0,35,66,27980,11282,6920,,,,1750,,47932,251,72617,,3,-8,7,,,,1,Conservative,55,32,7,,,4,2,,23,64,26950,15477,3637,,,1796,1090,48950,102,76205, ,4,13,-1,,,-14,-2,Conservative,51,18,9,,,18,4,,32,64,23369,8468,4076,,,8253,2025,,46191,114,72430, ,4,6,-26,,,13,4,Conservative,47,12,34,,,5,,,12,64,21203,5489,15617,,,2041,,,45384,71465,3,-10,6,,,,2,,Conservative,44,22,29,,,2,,,3,15,64,18474,9113,12129,,,992,,,41962,65971,58,42,"Docherty, Leo",Male,"Kaye, Howard",Male,"Hilliar, Alan",Male,,,,,,,"Wallace, Donna",Female,,,"Docherty, Leo",Male,"Puffett, Gary",Male,"Hilliar, Alan",Male, ,, ,,"Swales, Roy",Male,"Wallace, Donna",Female,"Howarth, Gerald",Male,White,"Puffett, Gary John",Male,White,"Hilliar, Alan Richard",Male,White, ,,, ,,,"Walker, Bill (William)",Male,White,"Hewitt, Carl Robert",Male,White,103922,20,50,50,98,2,7,4,2,6,1,3,2,7,8,24,19,5,7,4,1,1,65,24,41,2,15,2,13,17,12,5,1,25,9,16,66,7,39,13,20,6,11,6,4,0,10,6,3,9,3,0,0,5,16,42,32,7,3,86,2,10,2,1,81,1,0,3,1,0,1,0,1,1,0,1,7,1,1,0,0,0,83,80,1,2,1,0,1,4,2,1,13,14,87,76,1,3,0,1,6,0,0,0,0,91,3,1,5,58,3,3,0,1,0,0,27,7,3,8,23,15,8,8,15,10,3,1,78,71,14,49,8,4,3,22,10,4,4,3,2,1,1,0,1,7,0,0,7,0,1,7,16,5,5,6,4,1,6,7,11,7,11,5,19,16,17,4,13,25,7,14,50,36,11,3,1,24,3,21,48,33,15,4,0
8,E14000531,Aldridge-Brownhills,England,West Midlands,Borough,Conservative,71,20,6,,,,2,,1,50,65,27850,8014,2371,,,,771,,39342,152,60138,,5,-9,3,,,,,Conservative,65,30,3,,,,,1,36,67,26317,12010,1343,,,,,40235,87,60363, ,13,7,-0,,,-20,-2,Conservative,52,22,3,,,20,2,0,30,66,20558,8835,1330,,,7751,826,,39497,105,60215, ,-7,3,-14,,,20,-0,Conservative,59,20,18,,,,2,,40,65,22913,7647,6833,,,,847,,38634,58970,11,-13,6,,,,,,Conservative,48,33,12,,,3,,,4,15,64,17845,12113,4406,,,1032,,,37016,58262,68,32,"Morton, Wendy",Female,"Morgan, David",Male,"Garrett, Ian",Male,,,,,,,"McComish, Bill",Male,,,"Morton, Wendy",Female,"Fisher, John",Male,"Garrett, Ian",Male, ,, ,, ,, ,,"Morton, Wendy",Female,White,"Fisher, John Gary",Male,White,"Garrett, Ian",Male,White, ,,, ,,,"Thompson, Anthony Stephen Geoffrey",Male,White,"Curzey, Martyn Joshua",Male,White,76974,17,49,51,99,1,5,3,2,6,1,3,2,5,5,19,20,7,12,7,2,1,76,39,37,1,15,7,8,8,7,1,1,27,14,13,68,12,36,13,16,8,10,4,4,1,10,6,4,5,2,0,0,2,19,42,30,7,2,93,2,4,1,0,92,1,0,1,1,0,0,0,3,0,0,0,1,0,1,0,0,0,96,95,0,1,1,0,1,1,0,0,3,21,80,78,0,1,0,0,0,0,0,0,0,98,1,0,1,70,0,1,0,1,2,0,20,6,2,6,20,14,9,8,16,13,3,2,69,62,15,38,9,5,2,31,19,4,4,4,2,1,1,1,2,6,0,0,14,0,1,10,18,5,4,2,4,2,5,4,5,11,12,4,29,14,16,4,12,21,5,10,43,36,15,5,1,37,3,34,40,33,22,5,0
9,E14000532,Altrincham and Sale West,England,North West,Borough,Conservative,48,37,11,,,,3,,1,11,75,26311,20172,6036,,,,1566,,54763,173,73107,,-3,-2,3,,,,1,Conservative,51,39,8,,,,2,1,12,72,26933,20507,4051,,,,1000,52790,132,73226, ,-2,12,-1,,,-8,-2,Conservative,53,27,8,,,8,4,,26,71,26771,13481,4235,,,4047,1983,,50517,158,71511, ,4,4,-17,,,5,4,Conservative,49,22,25,,,3,,,24,69,24176,11073,12581,,,1563,,,49393,72208,2,-7,4,,,,2,,Conservative,47,29,22,,,2,,,,18,68,20384,12766,9489,,,718,,,43357,63969,39,61,"Brady, Graham",Male,"Western, Andrew",Male,"Smith, Angela",Female,,,,,,,"Coggins, Geraldine",Female,,,"Brady, Graham",Male,"Western, Andrew",Male,"Brophy, Jane",Female, ,, ,, ,,"Coggins, Geraldine",Female,"Brady, Graham Stuart",Male,White,"Wright, James Alexander",Male,White,"Brophy, Jane Elisabeth",Female,White, ,,, ,,,"Frost, Chris",Male,,"Robertson-Brown, Nick",Male,White,96591,19,49,51,99,1,6,4,2,6,1,3,2,4,5,21,21,6,9,6,2,1,74,35,39,1,12,3,9,12,11,1,1,28,13,15,67,9,39,12,21,6,9,5,4,0,9,6,3,5,2,0,0,3,16,42,34,6,2,90,2,6,1,1,86,2,0,3,1,0,1,0,2,2,0,1,1,0,0,0,0,0,90,87,1,2,1,0,1,2,1,1,6,10,91,85,1,2,0,0,1,0,0,0,0,94,3,1,2,65,0,1,2,3,0,0,21,6,4,15,26,14,9,5,10,6,2,1,73,68,14,42,12,3,3,27,14,4,4,3,2,1,1,0,1,7,0,0,7,1,1,6,15,4,4,5,5,2,12,5,4,10,13,5,15,11,15,3,11,40,4,29,54,31,11,3,1,30,2,28,54,29,13,3,0
10,W07000043,Alyn and Deeside,Wales,Wales,County,Labour,42,42,6,,3,,,6,0,0,68,18058,18271,2548,,1453,,,2678,43008,121,62789,,2,-10,4,,1,,,Labour,40,52,2,,3,2,,0,12,71,18080,23315,1077,,1171,1117,,44760,84,63013, ,8,12,-2,,-1,-15,-2,Labour,32,40,4,,4,18,2,,8,67,13197,16540,1733,,1608,7260,976,,41314,55,62016, ,-0,0,-14,,0,15,2,Labour,32,40,18,,4,3,,3,7,66,12885,15804,7308,,1549,1009,,1368,39923,60931,7,-9,1,,0,,-0,,Labour,25,49,17,,4,3,,,2,24,60,8953,17331,6174,,1320,918,,,35496,58939,58,42,"Sen, Sanjoy",Male,"Tami, Mark",Male,"Lalek, Donna",Female,,,"Hills, Susan",Female,,,,,"Wall, Simon",Male,"Knightly, Laura",Female,"Tami, Mark",Male,"Williams, Pete",Male, ,,"Hurst, Jacqui",Female,"Griffiths, David",Male, ,,"Knightly, Laura",Female,White,"Tami, Mark",Male,White,"Jones, Tudor",Male,White, ,,,"Hurst, Jacqueline Ann",Female,White,"Smillie, Blair",Male,White,"Ibbotson, Alasdair",Male,White,82505,5,49,51,100,0,6,3,2,6,1,3,2,6,6,20,20,7,9,5,1,1,73,33,39,1,15,11,4,11,10,1,1,27,12,15,67,9,37,14,16,7,11,5,5,1,11,7,4,5,2,0,0,3,17,43,31,7,2,98,1,1,0,0,95,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,51,0,1,42,0,0,3,1,2,2,20,80,77,0,2,0,0,0,0,0,0,0,97,1,0,2,66,0,0,0,0,0,0,26,7,2,6,20,13,8,11,18,13,2,1,72,65,15,43,7,4,3,28,16,4,3,4,1,1,1,0,1,6,1,0,20,1,1,7,18,4,5,2,5,1,4,5,5,8,11,4,23,16,18,5,13,21,5,10,49,33,13,4,1,32,4,28,44,32,19,4,0
