,ONSConstID,cluster_demo
0,W07000049,1
1,W07000058,3
2,S14000001,0
3,S14000002,2
4,S14000058,2
5,S14000003,1
6,E14000530,0
7,E14000531,3
8,E14000532,2
9,W07000043,3
10,E14000533,3
11,S14000004,1
12,W07000057,0
13,S14000005,3
14,E14000534,2
15,E14000535,1
16,E14000536,3
17,E14000537,1
18,E14000538,2
19,S14000006,1
20,S14000010,1
21,S14000048,1
22,E14000539,3
23,S14000007,1
24,E14000540,0
25,E14000541,1
26,E14000542,1
27,E14000543,3
28,E14000544,3
29,E14000933,1
30,E14000545,0
31,E14000546,3
32,E14000547,0
33,E14000548,1
34,E14000549,4
35,E14000550,2
36,E14000551,2
37,E14000552,0
38,E14000813,2
39,E14000841,2
40,E14000949,3
41,E14000553,4
42,E14000554,3
43,S14000008,1
44,E14000555,4
45,E14000556,3
46,E14000557,3
47,E14000558,3
48,E14000559,1
49,E14000560,0
50,E14000561,1
51,E14000562,0
52,E14000563,1
53,E14000564,4
54,E14000565,1
55,E14000566,1
56,E14000567,0
57,E14000568,1
58,E14000569,1
59,E14000570,1
60,E14000571,0
61,E14000572,3
62,E14000573,1
63,W07000072,1
64,E14000574,3
65,E14000575,1
66,E14000576,3
67,E14000577,1
68,E14000578,1
69,E14000579,1
70,E14000580,3
71,E14000581,1
72,E14000582,1
73,E14000583,3
74,E14000584,0
75,E14000585,0
76,E14000586,2
77,E14000587,1
78,E14000588,1
79,E14000589,1
80,E14000590,3
81,W07000068,3
82,E14000591,4
83,E14000592,0
84,E14000593,4
85,E14000594,2
86,W07000073,3
87,E14000595,3
88,E14000596,3
89,E14000597,0
90,E14000598,0
91,E14000599,1
92,E14000600,0
93,E14000601,1
94,E14000602,4
95,E14000603,3
96,E14000604,2
97,E14000605,2
98,E14000606,3
99,E14000607,2
100,E14000608,2
101,E14000609,1
102,E14000610,3
103,E14000611,3
104,E14000612,3
105,E14000613,3
106,W07000076,1
107,S14000009,1
108,E14000614,2
109,E14000615,4
110,E14000616,3
111,E14000617,4
112,E14000842,1
113,E14000855,3
114,E14000934,2
115,E14000937,2
116,E14000618,1
117,E14000619,2
118,W07000050,0
119,W07000051,2
120,W07000080,0
121,W07000079,0
122,E14000620,1
123,W07000067,3
124,W07000066,3
125,E14000621,0
126,E14000622,3
127,W07000064,3
128,E14000625,3
129,E14000626,1
130,E14000627,2
131,E14000628,2
132,E14000629,4
133,E14000630,2
134,E14000631,2
135,E14000640,2
136,E14000632,1
137,E14000633,2
138,E14000634,2
139,E14000635,2
140,E14000636,2
141,E14000637,3
142,E14000638,3
143,E14000639,4
144,E14000642,3
145,E14000643,3
146,W07000062,1
147,W07000059,3
148,S14000011,1
149,E14000644,0
150,E14000645,2
151,E14000646,2
152,E14000647,3
153,E14000648,1
154,E14000837,3
155,E14000938,3
156,E14000991,2
157,E14000649,1
158,E14000650,3
159,E14000651,0
160,E14000652,0
161,E14000653,3
162,E14000654,0
163,E14000655,0
164,E14000656,2
165,S14000012,1
166,W07000070,1
167,E14000657,1
168,E14000658,1
169,E14000659,3
170,E14000660,2
171,W07000042,3
172,E14000661,1
173,E14000662,0
174,E14000663,1
175,E14000664,2
176,E14000814,2
177,E14000843,3
178,E14000935,3
179,E14000665,0
180,E14000623,2
181,E14000678,2
182,E14000838,3
183,E14000950,2
184,E14001000,3
185,E14000666,3
186,E14000667,1
187,E14000668,1
188,E14000669,1
189,E14000815,3
190,E14000839,3
191,E14000936,3
192,E14001031,2
193,E14000670,3
194,E14000671,1
195,E14000672,1
196,E14000673,4
197,S14000013,1
198,S14000014,3
199,S14000018,2
200,S14000059,1
201,S14000015,1
202,S14000016,0
203,S14000017,3
204,E14000641,0
205,E14000840,1
206,E14000856,3
207,W07000061,3
208,E14000674,4
209,E14000675,0
210,E14000676,0
211,E14000677,1
212,E14000679,4
213,S14000019,3
214,S14000020,3
215,E14000684,3
216,E14000685,3
217,E14000686,3
218,S14000022,0
219,S14000023,4
220,S14000024,2
221,S14000025,0
222,S14000026,2
223,E14000687,0
224,E14000688,3
225,E14000689,3
226,E14000690,0
227,E14000691,0
228,E14000692,2
229,E14000693,3
230,E14000694,2
231,E14000695,3
232,E14000696,0
233,E14000697,2
234,E14000698,0
235,S14000028,1
236,E14000699,2
237,E14000700,3
238,E14000701,0
239,S14000049,2
240,E14000702,2
241,E14000703,4
242,E14000704,3
243,E14000705,3
244,E14000706,2
245,E14000707,3
246,E14000708,1
247,E14000709,0
248,E14000710,3
249,E14000711,3
250,S14000029,4
251,S14000030,1
252,S14000031,4
253,S14000032,1
254,S14000033,0
255,S14000034,0
256,S14000035,1
257,S14000036,1
258,E14000712,1
259,S14000037,3
260,E14000713,3
261,W07000046,2
262,E14000714,3
263,E14000715,1
264,E14000716,1
265,E14000717,1
266,E14000718,4
267,E14000719,2
268,E14000720,4
269,E14000721,4
270,E14000722,1
271,E14000723,1
272,E14000724,2
273,E14000725,1
274,E14000726,4
275,E14000680,2
276,E14000844,2
277,E14000857,3
278,E14000727,4
279,E14000728,3
280,E14000729,1
281,E14000730,2
282,E14000731,2
283,E14000732,0
284,E14000733,1
285,E14000734,3
286,E14000735,1
287,E14000736,3
288,E14000737,0
289,E14000738,3
290,E14000739,0
291,E14000740,1
292,E14000741,0
293,E14000742,2
294,E14000743,3
295,E14000847,3
296,E14000744,2
297,E14000845,2
298,E14000951,2
299,E14000745,2
300,E14000746,2
301,E14000747,1
302,E14000748,3
303,E14000749,2
304,E14000750,4
305,E14000751,3
306,E14000752,4
307,E14000753,2
308,E14000754,1
309,E14000755,0
310,E14000756,0
311,E14000771,1
312,E14000772,0
313,E14000773,1
