,All people,0 to 4,5 to 7,8 to 9,10 to 14,15,16 to 17,18 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 to 74,75 to 84,85 to 89,90 and over,Mean age,Median age
S92000003,"5,295,403","292,821","164,246","105,371","291,615","62,278","126,266","142,282","363,940","345,632","1,056,449","1,117,647","336,522","481,792","302,639","71,507","34,396",40.3,41
S00088956,230,28,22,6,13,2,4,6,10,12,67,38,5,10,6,-,1,30.8,34
S00088957,66,2,1,1,4,-,3,2,4,4,9,20,4,7,5,-,-,42.8,48
S00088958,90,3,8,7,12,-,2,3,2,1,19,26,1,5,1,-,-,32.2,38
S00088959,83,8,7,3,2,-,1,1,4,4,21,19,7,5,1,-,-,35.9,39
S00088960,68,4,3,3,3,-,4,-,2,4,11,18,11,4,1,-,-,39.9,45
S00088961,217,6,3,4,13,7,2,8,14,13,31,65,18,24,6,1,2,42.7,46
S00088962,86,4,5,5,13,-,1,2,4,2,11,24,6,4,4,1,-,36.7,40
S00088963,89,8,3,3,7,-,1,3,4,4,18,22,2,6,6,2,-,38.7,39
S00088964,88,8,2,-,4,-,3,2,5,4,20,28,5,5,2,-,-,38.9,42
S00088965,144,6,2,5,9,3,7,5,6,7,19,36,14,16,8,1,-,41.9,45
S00088966,120,9,5,2,8,3,2,5,6,3,28,32,6,10,1,-,-,36.6,38
S00088967,52,1,1,-,1,1,4,1,4,1,13,16,2,4,3,-,-,41.4,43
S00088968,56,1,2,1,4,-,3,-,4,1,11,12,6,9,2,-,-,42.9,46
S00088969,154,8,7,1,10,2,3,8,10,4,33,41,7,14,5,1,-,39.2,42
S00088970,105,3,1,1,6,-,1,3,9,11,26,20,13,8,3,-,-,40.0,39
S00088971,78,6,1,-,6,-,4,-,5,10,14,19,3,7,2,1,-,37.6,34
S00088972,129,8,-,1,1,-,2,9,28,18,39,18,3,2,-,-,-,30.3,29
S00088973,144,7,3,5,3,2,1,4,9,12,27,24,17,14,15,1,-,43.7,44
S00088974,120,1,2,2,10,1,6,6,13,2,25,29,11,8,4,-,-,38.6,38
S00088975,77,3,3,1,2,1,-,6,13,7,27,12,1,1,-,-,-,30.8,30
S00088976,69,-,2,-,-,-,-,5,18,14,17,4,2,6,-,1,-,33.7,27
S00088977,60,-,-,-,-,-,-,6,14,14,19,5,-,-,2,-,-,30.3,28
S00088978,60,1,-,1,3,-,-,2,21,7,12,6,4,2,-,1,-,31.7,26
S00088979,85,2,-,-,2,-,-,4,19,25,25,7,1,-,-,-,-,29.1,27
S00088980,66,1,-,-,-,-,1,2,17,16,13,9,2,3,2,-,-,33.8,26
S00088981,57,1,-,-,1,-,2,3,5,10,18,12,1,4,-,-,-,36.8,35
S00088982,66,1,-,-,-,-,-,-,12,14,26,5,1,3,3,1,-,36.1,31
S00088983,65,1,-,1,1,-,1,4,3,6,5,16,5,7,13,2,-,52.0,56
S00088984,55,-,-,-,-,-,1,1,4,10,7,7,6,12,6,1,-,51.0,58
S00088985,80,4,-,-,-,-,-,3,17,25,19,9,-,2,1,-,-,31.0,28
S00088986,131,-,1,-,-,-,-,13,49,28,25,13,1,1,-,-,-,28.5,25
S00088987,63,-,-,-,-,-,-,8,15,17,13,7,2,1,-,-,-,30.7,27
S00088988,67,3,-,-,1,-,-,1,12,7,19,17,4,3,-,-,-,37.5,37
S00088989,95,3,1,2,-,2,1,2,28,24,26,5,1,-,-,-,-,27.7,26
S00088990,107,3,-,-,1,-,-,4,23,31,32,10,2,1,-,-,-,30.5,28
S00088991,127,3,3,-,1,-,1,3,53,30,17,9,3,2,1,1,-,28.6,24
S00088992,541,-,1,-,2,-,10,264,132,44,21,11,8,14,26,6,2,27.1,19
S00088993,123,11,2,1,6,2,2,11,33,17,24,12,1,1,-,-,-,25.4,24
S00088994,57,3,1,-,-,-,-,4,22,11,9,5,1,-,1,-,-,27.5,23
S00088995,62,1,1,-,-,-,-,1,23,21,13,2,-,-,-,-,-,26.8,26
S00088996,102,1,6,1,6,-,2,6,24,3,18,13,8,9,4,1,-,36.8,32
S00088997,152,8,5,2,6,4,4,3,7,6,36,46,7,14,3,1,-,39.9,41
S00088998,126,17,5,3,1,1,1,4,2,14,59,16,1,1,1,-,-,30.7,34
S00088999,123,10,7,1,3,-,1,4,7,9,35,22,10,11,2,1,-,37.7,37
S00089000,120,1,-,1,-,-,1,-,21,26,45,14,5,5,-,-,1,35.0,31
S00089001,115,2,2,1,6,1,2,4,5,5,22,24,13,16,9,2,1,47.0,48
S00089002,135,11,5,3,13,-,4,5,6,13,38,21,4,6,5,-,1,33.1,31
S00089003,118,9,3,-,-,-,-,1,18,11,29,12,1,2,14,10,8,45.5,37
S00089004,97,10,2,2,3,-,1,-,4,17,31,20,1,3,3,-,-,34.4,33
S00089005,133,12,4,1,7,1,2,2,2,6,24,38,11,18,5,-,-,42.2,46
S00089006,104,6,3,1,10,2,3,-,1,8,29,27,8,3,3,-,-,37.1,39
S00089007,122,8,2,1,4,-,2,1,26,16,32,20,2,7,1,-,-,32.5,31
S00089008,73,-,1,-,-,-,-,1,11,29,30,1,-,-,-,-,-,28.9,29
S00089009,106,7,-,-,1,-,-,1,15,45,27,8,-,1,1,-,-,29.5,28
S00089010,129,9,2,2,3,1,4,2,9,26,35,18,7,8,3,-,-,34.5,30
S00089011,155,8,1,-,1,-,-,7,36,35,41,15,7,4,-,-,-,30.9,27
S00089012,117,8,3,-,-,-,2,7,26,16,29,10,5,6,4,-,1,33.1,29
S00089013,69,4,-,-,-,-,-,-,12,21,16,10,2,3,-,-,1,33.6,29
S00089014,117,4,1,1,1,-,4,5,28,33,22,14,4,-,-,-,-,29.4,26
S00089015,93,2,-,2,1,-,-,2,23,26,32,4,1,-,-,-,-,28.6,28
S00089016,90,2,1,1,-,-,2,5,19,20,22,12,3,2,-,1,-,32.4,28
S00089017,83,1,-,-,1,-,-,3,15,18,38,6,1,-,-,-,-,30.9,30
S00089018,148,11,3,2,7,2,2,2,12,8,36,41,8,6,6,2,-,38.7,40
