,All people,England,Northern Ireland,Scotland,Wales,Republic of Ireland,Other EU: Member countries in March 2001 (1),Other EU: Accession countries April 2001 to March 2011,Other countries
S92000003,5295403,459486,36655,4411884,17381,22952,59031,78254,209760
S00088956,230,26,2,176,1,0,2,1,22
S00088957,66,4,0,53,1,0,0,3,5
S00088958,90,13,0,59,0,0,4,0,14
S00088959,83,7,0,68,0,0,0,0,8
S00088960,68,15,0,44,0,0,0,0,9
S00088961,217,65,0,84,4,0,33,3,28
S00088962,86,19,1,58,0,0,5,1,2
S00088963,89,15,0,71,1,0,1,0,1
S00088964,88,14,0,65,0,0,3,0,6
S00088965,144,16,6,109,3,0,2,0,8
S00088966,120,18,0,84,0,0,5,6,7
S00088967,52,5,0,47,0,0,0,0,0
S00088968,56,5,1,40,0,0,2,3,5
S00088969,154,5,0,139,0,1,2,0,7
S00088970,105,24,1,54,1,1,8,0,16
S00088971,78,10,0,49,1,0,9,0,9
S00088972,129,15,1,69,0,3,9,9,23
S00088973,144,5,1,100,0,2,1,13,22
S00088974,120,9,0,89,2,0,2,5,13
S00088975,77,10,3,47,1,0,6,5,5
S00088976,69,6,1,45,0,0,2,4,11
S00088977,60,8,1,32,0,0,4,4,11
S00088978,60,8,0,46,1,0,1,0,4
S00088979,85,11,1,47,0,0,4,11,11
S00088980,66,8,2,41,0,2,1,0,12
S00088981,57,7,0,37,0,1,4,3,5
S00088982,66,8,2,38,0,1,1,7,9
S00088983,65,6,1,50,0,0,1,3,4
S00088984,55,2,1,48,0,0,1,1,2
S00088985,80,7,0,46,2,1,2,6,16
S00088986,131,21,1,73,1,4,4,13,14
S00088987,63,8,0,37,0,1,9,1,7
S00088988,67,2,0,56,0,0,2,0,7
S00088989,95,7,1,40,0,0,4,19,24
S00088990,107,5,0,66,1,0,3,14,18
S00088991,127,14,0,54,0,1,2,14,42
S00088992,541,162,14,174,2,14,37,39,99
S00088993,123,11,0,74,0,1,4,6,27
S00088994,57,5,0,42,0,0,2,2,6
S00088995,62,10,0,33,0,1,3,2,13
S00088996,102,11,0,77,1,0,1,2,10
S00088997,152,15,3,115,0,0,3,1,15
S00088998,126,12,2,66,0,2,15,1,28
S00088999,123,18,1,84,0,0,4,3,13
S00089000,120,23,2,77,0,0,3,6,9
S00089001,115,10,0,96,1,0,2,1,5
S00089002,135,13,0,93,1,1,3,1,23
S00089003,118,14,1,82,0,2,8,1,10
S00089004,97,14,0,50,0,2,12,5,14
S00089005,133,17,1,95,2,1,6,0,11
S00089006,104,15,0,69,0,2,8,0,10
S00089007,122,13,0,83,3,6,2,1,14
S00089008,73,6,0,54,0,0,2,3,8
S00089009,106,9,1,69,2,0,2,3,20
S00089010,129,19,1,98,1,1,4,2,3
