,All people aged 16 to 74,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed people aged 16 to 74: Aged 16 to 24,Unemployed people aged 16 to 74: Aged 50 to 74,Unemployed people aged 16 to 74: Never worked,Unemployed people aged 16 to 74: Long-term unemployed
S92000003,"3,970,530","529,816","1,573,416","297,693","189,414","148,560","591,667","218,412","141,542","203,975","76,035","57,222","34,880","26,416","73,269"
S00088956,152,28,71,14,1,4,15,10,7,1,1,1,-,-,-
S00088957,53,7,23,8,2,2,4,1,4,2,-,-,1,-,1
S00088958,59,10,22,9,-,1,6,6,5,-,-,-,-,-,-
S00088959,62,5,28,10,3,-,4,3,7,1,1,1,2,1,-
S00088960,54,7,23,7,2,1,6,2,4,-,2,-,2,-,2
S00088961,175,6,34,34,5,6,15,9,5,43,18,2,1,1,2
S00088962,54,5,22,12,2,2,5,1,4,1,-,1,1,1,-
S00088963,60,5,29,11,1,1,5,3,3,2,-,-,-,-,1
S00088964,72,13,26,14,-,7,9,2,1,-,-,-,-,-,-
S00088965,110,10,43,17,2,6,15,9,4,3,1,-,-,-,2
S00088966,92,9,34,11,1,3,11,4,5,9,5,1,-,1,-
S00088967,45,8,19,9,-,3,2,3,-,1,-,-,-,-,-
S00088968,46,3,21,6,1,-,10,3,1,-,1,-,-,-,1
S00088969,120,18,55,16,-,8,10,7,5,1,-,-,-,-,-
S00088970,91,11,38,8,3,8,13,7,3,-,-,-,1,-,-
S00088971,62,5,30,7,3,5,6,5,-,-,1,1,-,-,-
S00088972,119,6,66,5,5,18,2,13,4,-,-,1,-,1,-
S00088973,108,20,38,5,6,6,21,6,5,1,-,-,2,-,3
S00088974,100,11,33,5,10,9,8,7,4,11,2,3,1,-,3
S00088975,67,5,38,1,1,9,2,8,2,1,-,-,-,-,-
S00088976,66,3,35,4,-,14,3,4,1,1,1,-,-,-,-
S00088977,58,3,21,6,2,8,-,16,-,-,2,-,-,-,1
S00088978,54,3,23,3,2,8,3,11,1,-,-,-,1,-,1
S00088979,81,3,50,5,1,10,-,9,-,1,2,-,-,-,-
S00088980,63,5,33,4,-,10,2,3,-,6,-,-,-,-,-
S00088981,55,6,27,3,-,6,3,5,-,5,-,-,-,-,-
S00088982,61,5,34,4,-,5,2,7,-,1,3,-,-,-,-
S00088983,47,5,19,-,3,2,7,1,1,6,3,1,1,1,2
S00088984,48,6,16,2,3,1,14,2,-,4,-,3,-,1,-
S00088985,75,9,43,5,3,5,1,6,1,-,2,1,-,-,-
S00088986,130,8,59,5,3,25,1,27,-,2,-,1,-,-,-
S00088987,63,3,28,6,5,9,-,8,1,3,-,-,-,1,1
S00088988,63,7,29,2,6,3,6,1,-,9,-,5,-,-,2
S00088989,87,11,38,2,1,12,-,20,-,1,2,-,-,-,1
S00088990,103,9,48,12,4,10,1,12,1,4,2,-,1,-,2
S00088991,118,8,56,3,1,25,4,18,-,2,1,-,-,-,-
S00088992,504,3,18,-,4,193,17,264,-,4,1,-,-,-,1
S00088993,101,7,40,6,7,20,-,17,1,1,2,3,-,-,3
S00088994,52,-,25,4,-,8,2,10,1,1,1,-,-,-,-
S00088995,60,4,29,2,1,10,-,14,-,-,-,-,-,-,-
S00088996,83,7,14,-,4,19,13,12,3,8,3,2,-,2,1
S00088997,123,18,53,17,-,9,15,5,4,2,-,-,-,-,-
S00088998,98,6,61,12,1,1,-,5,10,-,2,-,1,-,-
S00088999,99,10,48,11,4,6,14,2,3,-,1,-,1,-,1
S00089000,117,9,80,4,4,8,5,3,1,1,2,2,-,-,1
S00089001,91,12,40,5,1,3,16,5,5,2,2,-,-,-,-
S00089002,97,14,41,12,-,7,9,9,3,1,1,-,-,-,-
S00089003,74,10,49,1,-,8,2,2,1,-,1,-,-,-,-
S00089004,77,8,45,7,-,6,4,2,3,-,2,-,-,-,-
S00089005,103,19,36,9,2,1,21,4,6,1,4,-,2,-,1
S00089006,79,8,46,6,-,-,6,4,7,1,1,-,-,-,-
S00089007,106,11,60,6,-,4,6,15,4,-,-,-,-,-,-
