,All people aged 16 to 74,"1. Higher managerial, administrative and professional occupations: Total","1. Higher managerial, administrative and professional occupations: 1.1 Large employers and higher managerial occupations","1. Higher managerial, administrative and professional occupations: 1.2 Higher professional occupations",2. Lower managerial and professional occupations,3. Intermediate occupations,4. Small employers and own account workers,5.  Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed: Total,8. Never worked and long-term unemployed: L14.1 Never worked,8. Never worked and long-term unemployed: L14.2 Long-term unemployed,L15 Full-time students
S92000003,"3,970,530","344,228","65,396","278,832","802,545","513,038","294,610","326,930","616,404","514,036","198,630","124,530","74,100","360,109"
S00088956,152,41,7,34,38,24,10,6,14,4,1,1,-,14
S00088957,53,8,4,4,12,9,5,5,2,7,2,1,1,3
S00088958,59,16,3,13,20,6,5,1,4,1,-,-,-,6
S00088959,62,12,3,9,15,8,9,4,9,1,2,2,-,2
S00088960,54,13,7,6,19,4,4,3,5,-,3,1,2,3
S00088961,175,15,4,11,29,4,19,3,21,5,66,64,2,13
S00088962,54,15,5,10,14,5,5,2,6,2,2,2,-,3
S00088963,60,8,1,7,13,9,11,3,6,4,2,1,1,4
S00088964,72,17,3,14,20,7,7,2,7,2,1,1,-,9
S00088965,110,8,1,7,25,14,21,10,9,6,2,-,2,15
S00088966,92,16,4,12,20,16,9,4,5,4,11,11,-,7
S00088967,45,5,-,5,11,2,6,4,8,3,-,-,-,6
S00088968,46,5,2,3,14,6,6,2,3,6,1,-,1,3
S00088969,120,17,5,12,21,16,14,13,15,7,2,2,-,15
S00088970,91,24,4,20,28,8,4,1,7,3,1,1,-,15
S00088971,62,18,2,16,14,9,3,2,3,3,-,-,-,10
S00088972,119,20,3,17,31,7,1,6,14,7,2,2,-,31
S00088973,108,7,1,6,10,8,7,14,22,21,7,4,3,12
S00088974,100,3,-,3,7,15,3,7,17,24,8,4,4,16
S00088975,67,17,3,14,14,6,2,4,1,6,-,-,-,17
S00088976,66,9,1,8,9,11,3,6,5,5,-,-,-,18
S00088977,58,7,-,7,10,3,5,3,1,4,3,2,1,22
S00088978,54,9,-,9,10,4,1,6,4,-,1,-,1,19
S00088979,81,12,-,12,20,12,4,5,7,1,1,1,-,19
S00088980,63,8,1,7,10,4,3,12,5,8,-,-,-,13
S00088981,55,16,4,12,9,3,-,2,9,6,-,-,-,10
S00088982,61,15,1,14,16,4,-,5,6,2,1,1,-,12
S00088983,47,1,-,1,5,4,-,8,10,10,6,4,2,3
S00088984,48,4,1,3,14,3,1,6,7,8,2,2,-,3
S00088985,75,10,-,10,22,3,4,6,8,10,1,1,-,11
S00088986,130,12,1,11,20,11,3,9,14,9,-,-,-,52
S00088987,63,3,-,3,14,5,3,5,6,8,2,1,1,17
