Council,Code,Turnout,YesPercent,NoPercent,Yes,No,WinDiff
Aberdeen,S12000033,81.7,41.4,58.6,"59,390","84,094",17.2
Aberdeenshire,S12000034,87.2,39.6,60.4,"71,337","108,606",20.8
Angus,S12000041,85.8,43.7,56.3,"35,044","45,192",12.6
Argyll and Bute,S12000035,88.2,41.5,58.5,"26,324","37,143",17
Clackmannanshire,S12000005,88.6,46.2,53.8,"16,350","19,036",7.6
Dumfries and Galloway,S12000006,87.5,34.3,65.7,"36,614","70,039",31.4
Dundee,S12000042,78.8,57.3,42.7,"53,620","39,880",-14.6
East Ayrshire,S12000008,84.5,47.2,52.8,"39,762","44,442",5.6
East Dunbartonshire,S12000045,91,38.8,61.2,"30,624","48,314",22.4
East Lothian,S12000010,87.6,38.3,61.7,"27,467","44,283",23.4
East Renfrewshire,S12000011,90.5,36.8,63.2,"24,287","41,690",26.4
Edinburgh East,S14000022,,,,27500,30632,
Edinburgh North and Leith,S14000023,,,,28813,43253,
Edinburgh South,S14000024,,,,20340,38298,
Edinburgh South West,S14000025,,,,24659,39509,
Edinburgh West,S14000026,,,,22615,42946,
Eilean Siar,S12000013,86.2,46.6,53.4,"9,195","10,544",6.8
Falkirk,S12000014,88.7,46.5,53.5,"50,489","58,030",7
Fife,S12000015,84.1,45,55,"114,148","139,788",10
Glasgow,S12000046,75,53.5,46.5,"194,779","169,347",-7
Highland,S12000017,87,47.1,52.9,"78,069","87,739",5.8
Inverclyde,S12000018,87.4,49.9,50.1,"27,243","27,329",0.2
Midlothian,S12000019,86.8,43.7,56.3,"26,370","33,972",12.6
Moray,S12000020,85.4,42.4,57.6,"27,232","36,935",15.2
North Ayrshire,S12000021,84.4,49,51,"47,072","49,016",2
North Lanarkshire,S12000044,84.4,51.1,48.9,"115,783","110,922",-2.2
Orkney Islands,S12000023,83.7,32.8,67.2,"4,883","10,004",34.4
Perth and Kinross,S12000024,86.9,39.8,60.2,"41,475","62,714",20.4
Renfrewshire,S12000038,87.3,47.2,52.8,"55,466","62,067",5.6
Scottish Borders,S12000026,87.4,33.4,66.6,"27,906","55,553",33.2
Shetland Islands,S12000027,84.4,36.3,63.7,"5,669","9,951",27.4
South Ayrshire,S12000028,86.1,42.1,57.9,"34,402","47,247",15.8
South Lanarkshire,S12000029,85.4,45.3,54.7,"100,990","121,800",9.4
Stirling,S12000030,90.1,40.2,59.8,"25,010","37,153",19.6
West Dunbartonshire,S12000039,87.9,54,46,"33,720","28,776",-8
West Lothian,S12000040,86.2,44.8,55.2,"53,342","65,682",10.4
