UKParliamentaryConstituency2005Code,All people,16 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 and over,Scotland,RUK,managerial_and_professional,Economically active: Unemployed,scaled_predicted_yes,scaled_predicted_no,constituency_name,yes_perc,no_perc
S14000001,99654.0,0.06792502057117628,0.13399361791799627,0.10444136713027073,0.2041363116382684,0.16802135388444017,0.05006321873682943,0.12946795913861964,0.7234932867722319,0.08751279426816785,0.24468999696571256,0.03687923535956306,13871.327853928113,16251.875521166123,Aberdeen North,0.46048647885161115,0.5395135211483889
S14000002,93197.0,0.04723328004120304,0.08809296436580577,0.09520692726160714,0.2186121870875672,0.2008111849093855,0.05401461420431988,0.15044475680547656,0.7424273313518676,0.10044314731160875,0.38509325344782364,0.027499758410756935,14674.279269523562,25527.696158699873,Aberdeen South,0.36501388584058525,0.6349861141594147
S14000003,85845.0,0.05019511911002388,0.06346321859164773,0.06595608363911701,0.21060050090278992,0.20825907158250334,0.06091210903372357,0.14905935115615354,0.943013570970936,0.030846292736909545,0.21770107416241835,0.06444974510079042,28984.889374506845,21939.587947657415,Airdrie and Shotts,0.5691740180491067,0.43082598195089333
S14000004,86004.0,0.048486116924794195,0.05425329054462583,0.05642760801823171,0.1844449095390912,0.21367610808799592,0.07246174596530394,0.1975722059439096,0.8550416259708851,0.09816985256499698,0.26235891915850124,0.04655469900115556,10578.61189619429,10503.738605042017,Angus,0.5017757339521483,0.49822426604785164
S14000005,88166.0,0.04538030533312161,0.05033686455096069,0.04722909057913481,0.1685116711657555,0.22394120182383231,0.08156205339926956,0.21931356758841278,0.760610666243223,0.19039085361704058,0.3057277917613113,0.04090183559457303,26324.0,37143.0,Argyll and Bute,0.4147667291663384,0.5852332708336616
S14000006,93308.0,0.04821665880739058,0.05794787156513911,0.05133536245552364,0.17715522784755863,0.22005615810005574,0.07300553007244824,0.20554507652076992,0.8834719423843614,0.08703433789171347,0.2545694365931788,0.055847864214172864,32996.63810262153,38953.83652837611,"Ayr, Carrick and Cumnock",0.4586020908388275,0.5413979091611726
S14000007,91325.0,0.04915411990145086,0.05866958664111689,0.055767862031207226,0.19672597864768684,0.21503421845058857,0.07118532712838763,0.17734464823432794,0.8156583629893238,0.12027374760470846,0.22742160534625835,0.033135051773518394,17199.18893097238,23568.947198269885,Banff and Buchan,0.42187822559382854,0.5781217744061714
S14000008,94683.0,0.044548651817116064,0.048150143109111455,0.0459850237106978,0.17797281454960237,0.22603846519438547,0.07975032476790976,0.21157969223619869,0.7492263658734937,0.19972962411414932,0.2765122771851958,0.04110530460304961,17819.02128168214,30547.698104808293,"Berwickshire, Roxburgh and Selkirk",0.3684149247190676,0.6315850752809324
S14000009,62229.0,0.04687525108872069,0.04869112471677192,0.05092480997605618,0.17212232238988254,0.2260039531408186,0.07824326278744637,0.20169053013868132,0.7925565250928024,0.17022610037120955,0.25160081892233305,0.04680489611011892,27064.253574716324,26154.9347065357,"Caithness, Sutherland and Easter Ross",0.5085431486043631,0.491456851395637
S14000010,88079.0,0.049353421360369666,0.05600653958378274,0.05199877382804074,0.18548121572679072,0.22329953791482646,0.07093631853222675,0.1905448517807877,0.9021333121402377,0.07097037886442853,0.272348224513173,0.055486827033218784,38593.755807043235,44928.878785414694,Central Ayrshire,0.46207541219644716,0.5379245878035528
